Manufacturer,Product,URL
Acuity,Catalog,https://www.acuitybrands.com/resources/retrofit-and-renovation/energy-efficient-products
Archipelago,Catalog,https://www.archipelagolighting.com/pages/rebate-center
Atlas,Catalog,https://www.atlaslightingproducts.com/resources/rebate-tool/
Axis,Catalog,https://www.axislighting.com/resources/energy-rebate-calculator
Cooper,Catalog,https://www.cooperlighting.com/global/resources/incentive-finder
CPS LED,Catalog,https://www.cpsled.com/pages/rebates
Dialight,Catalog,https://www.dialight.com/resources/encentivizer-catalog/
Earthtronics,Catalog,https://www.earthtronics.com/rebate-finder/catalog/
ELED,Catalog,https://www.eledlights.com/pages/encentiv-catalog
Elite,Catalog,https://iuseelite.com/rebate-calculator/
Espen,Catalog,https://www.espentech.com/rebates.php
Fulham,Catalog,https://www.fulham.com/utilityrebates/
GE Current,Catalog,https://www.gecurrent.com/lighting-tools/energy-efficiency-rebates-for-led
Green Lighting,Catalog,https://www.greenlightingled.com/rebate-catalog/
H.E. Williams,Catalog,https://hew.com/resources/rebate-finder
Halco,Catalog,https://www.halcolighting.com/index.jsp?path=rebates
HomeEver/Lepro,Catalog,https://www.lepro.com/rebate-finder
Hubbell,Catalog,https://www.hubbell.com/hubbelllightingci/en/Search-Utility-Rebates
Kenall,Catalog,https://kenall.com/Home/Products/DesignLights-Consortium-Rebate-Finder
Keystone,Catalog,https://keystonetech.com/utility-rebates/
LED Stick,Catalog,https://www.ledstick.net/rebateguide
Light Efficient Design,Catalog,https://www.led-llc.com/rebate-finder
Litetronics,Catalog,https://www.litetronics.com/rebate-finder
Maxlite,Catalog,https://www.maxlite.com/utility-rebate-programs
Mitsubishi Trane,HVAC,https://www.mitsubishicomfort.com/rebate-center
Paclights,Catalog,https://www.paclights.com/rebate/
Signify,Catalog,https://www.signify.com/en-us/support/tools/energy-efficient-lighting-rebate-finder
Sloan,Catalog,https://sloanled.com/estimator/sloanled-rebate-estimator/
Synpse Wireless,NLC,https://www.synapsewireless.com/support/searchable-resources/rebate-search
TCP,Catalog,https://www.tcpi.com/tcp-distributor-hub/commercial-lighting-rebates/
Topaz,Catalog,https://www.topaz-usa.com/rebate-finder
Universal,Catalog,https://unvlt.com/rebate-search
Westgate,Catalog,https://westgatemfg.com/available-rebates
